model,feature_matrix,accuracy,precision,recall,f1_score
Multi-layer Perceptron,word_3_500,0.916,0.88636364,0.95121951,0.91764706
Multi-layer Perceptron,word_1_1000,0.972,0.96774194,0.97560976,0.97165992
Multi-layer Perceptron,word_2_1000,0.952,0.93023256,0.97560976,0.95238096
Multi-layer Perceptron,word_3_1000,0.912,0.88549618,0.94308943,0.91338582
Multi-layer Perceptron,word_1_2000,0.976,0.968,0.98373984,0.97580645
Multi-layer Perceptron,word_2_2000,0.976,0.96062992,0.99186992,0.976
Multi-layer Perceptron,word_3_2000,0.924,0.90625,0.94308943,0.92430279
Multi-layer Perceptron,word_1_3000,0.976,0.968,0.98373984,0.97580645
Multi-layer Perceptron,word_2_3000,0.972,0.96774194,0.97560976,0.97165992
Multi-layer Perceptron,word_3_3000,0.928,0.92682927,0.92682927,0.92682927
Multi-layer Perceptron,word_1_4000,0.98,0.97580645,0.98373984,0.97975709
Multi-layer Perceptron,word_2_4000,0.98,0.97580645,0.98373984,0.97975709
Multi-layer Perceptron,word_3_4000,0.924,0.91935484,0.92682927,0.92307692
Multi-layer Perceptron,word_1_5000,0.976,0.968,0.98373984,0.97580645
Multi-layer Perceptron,word_2_5000,0.988,0.97619048,1.0,0.98795181
Multi-layer Perceptron,word_3_5000,0.916,0.9047619,0.92682927,0.91566265
Multi-layer Perceptron,word_1_6000,0.976,0.968,0.98373984,0.97580645
Multi-layer Perceptron,word_2_6000,0.988,0.97619048,1.0,0.98795181
Multi-layer Perceptron,word_3_6000,0.912,0.89147287,0.93495935,0.91269841
Multi-layer Perceptron,word_1_7000,0.976,0.968,0.98373984,0.97580645
Multi-layer Perceptron,word_2_7000,0.988,0.97619048,1.0,0.98795181
Multi-layer Perceptron,word_3_7000,0.912,0.8976378,0.92682927,0.912
Multi-layer Perceptron,word_1_8000,0.976,0.968,0.98373984,0.97580645
Multi-layer Perceptron,word_2_8000,0.988,0.97619048,1.0,0.98795181
Multi-layer Perceptron,word_3_8000,0.916,0.8984375,0.93495935,0.91633466
Multi-layer Perceptron,word_1_9000,0.976,0.968,0.98373984,0.97580645
Multi-layer Perceptron,word_2_9000,0.98,0.97580645,0.98373984,0.97975709
Multi-layer Perceptron,word_3_9000,0.92,0.90551181,0.93495935,0.92
Multi-layer Perceptron,word_1_10000,0.976,0.968,0.98373984,0.97580645
Multi-layer Perceptron,word_2_10000,0.992,0.984,1.0,0.99193548
Multi-layer Perceptron,word_3_10000,0.916,0.8984375,0.93495935,0.91633466
